# original_frequency, f1, precision, recall
5.000000000000000240e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.455000000000000151e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.993999999999999939e-02,5.927977561950683594e-01,7.278911471366882324e-01,5.000000000000000000e-01
1.208000000000000046e-02,5.347593426704406738e-01,7.692307829856872559e-01,4.098360538482666016e-01
5.250000000000000326e-03,3.448275849223136902e-02,1.000000000000000000e+00,1.754385977983474731e-02
1.072999999999999995e-02,1.846153885126113892e-01,7.058823704719543457e-01,1.061946898698806763e-01
2.500000000000000052e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.518049999999999788e-01,8.235121369361877441e-01,8.501213788986206055e-01,7.985181212425231934e-01
1.912399999999999933e-01,8.720270991325378418e-01,9.026963710784912109e-01,8.433734774589538574e-01
9.000000000000000567e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.749999999999999982e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.123000000000000040e-02,5.032258033752441406e-01,7.090908885002136230e-01,3.899999856948852539e-01
6.955000000000000245e-03,2.702702581882476807e-02,1.111111119389533997e-01,1.538461539894342422e-02
3.263499999999999734e-02,2.384428381919860840e-01,6.049382686614990234e-01,1.484848558902740479e-01
5.749999999999999903e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.389999999999999960e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.649499999999999855e-02,1.893333345651626587e-01,8.160919547080993652e-01,1.070889905095100403e-01
1.423499999999999939e-02,4.641350209712982178e-01,6.547619104385375977e-01,3.594771325588226318e-01
2.563999999999999960e-02,1.550387684255838394e-02,4.000000059604644775e-01,7.905138656497001648e-03
5.161000000000000310e-02,3.119533658027648926e-01,6.772152185440063477e-01,2.026515156030654907e-01
1.362999999999999975e-02,1.505376398563385010e-01,4.117647111415863037e-01,9.210526198148727417e-02
2.749999999999999840e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.185000000000000072e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.129999999999999928e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.969999999999999984e-03,1.250000000000000000e-01,2.500000000000000000e-01,8.333333581686019897e-02
5.445000000000000187e-03,2.168674767017364502e-01,5.625000000000000000e-01,1.343283653259277344e-01
3.295499999999999818e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.450000000000000479e-04,4.444444775581359863e-01,1.000000000000000000e+00,2.857142984867095947e-01
4.299999999999999894e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999526e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.369999999999999753e-03,1.886792480945587158e-01,5.000000000000000000e-01,1.162790730595588684e-01
1.975000000000000193e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.123000000000000081e-02,9.470752626657485962e-02,5.000000000000000000e-01,5.230769142508506775e-02
1.900000000000000105e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.239999999999999908e-03,2.531645633280277252e-02,5.000000000000000000e-01,1.298701297491788864e-02
3.534999999999999948e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.927000000000000129e-02,2.492113411426544189e-01,5.563380122184753418e-01,1.605691015720367432e-01
7.474999999999999874e-03,3.697479367256164551e-01,5.945945978164672852e-01,2.682926952838897705e-01
4.306499999999999911e-02,1.968504041433334351e-01,6.578947305679321289e-01,1.157407388091087341e-01
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.418999999999999949e-02,5.140562057495117188e-01,5.925925970077514648e-01,4.539006948471069336e-01
1.135500000000000051e-02,5.202312469482421875e-01,6.923077106475830078e-01,4.166666567325592041e-01
1.081099999999999978e-01,2.421589940786361694e-01,7.410714030265808105e-01,1.447253674268722534e-01
1.061499999999999944e-01,3.684577643871307373e-01,7.333333492279052734e-01,2.460391372442245483e-01
6.170000000000000137e-03,2.571428418159484863e-01,5.625000000000000000e-01,1.666666716337203979e-01
1.380499999999999956e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.514999999999999958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.819999999999999674e-03,8.571428805589675903e-02,7.500000000000000000e-01,4.545454680919647217e-02
2.741999999999999993e-02,2.566844820976257324e-01,5.000000000000000000e-01,1.726618707180023193e-01
2.447500000000000023e-02,6.536203026771545410e-01,6.679999828338623047e-01,6.398467421531677246e-01
2.132500000000000021e-02,6.666666865348815918e-01,7.898089289665222168e-01,5.767441987991333008e-01
3.000000000000000076e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000296e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.295000000000000227e-03,3.278688788414001465e-01,7.692307829856872559e-01,2.083333283662796021e-01
1.018949999999999995e-01,2.840236425399780273e-01,5.925925970077514648e-01,1.867704242467880249e-01
1.425000000000000051e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360500000000000077e-02,5.714285373687744141e-01,6.306306123733520508e-01,5.223880410194396973e-01
7.844999999999999543e-03,3.000000119209289551e-01,7.058823704719543457e-01,1.904761940240859985e-01
2.720500000000000002e-02,6.813627481460571289e-01,7.172995805740356445e-01,6.488549709320068359e-01
5.479999999999999628e-03,6.279069781303405762e-01,7.941176295280456543e-01,5.192307829856872559e-01
2.615750000000000020e-01,5.795275568962097168e-01,7.179487347602844238e-01,4.858543872833251953e-01
2.848499999999999990e-02,2.177650481462478638e-01,6.229507923126220703e-01,1.319444477558135986e-01
1.608000000000000054e-02,9.375000000000000000e-02,5.625000000000000000e-01,5.113636329770088196e-02
5.500000000000000196e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.849999999999999973e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.353999999999999995e-02,1.566265076398849487e-01,5.416666865348815918e-01,9.154929220676422119e-02
1.376999999999999925e-02,3.409090638160705566e-01,6.666666865348815918e-01,2.290076315402984619e-01
3.499999999999999693e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.740000000000000010e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999999886e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.499999999999999431e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000409e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.063400000000000040e-01,6.432492136955261230e-01,7.929634451866149902e-01,5.410895943641662598e-01
1.203000000000000076e-02,4.419889450073242188e-01,5.714285969734191895e-01,3.603603541851043701e-01
2.174500000000000044e-02,2.678571455180644989e-02,5.000000000000000000e-01,1.376146823167800903e-02
1.485999999999999995e-02,2.681564390659332275e-01,6.857143044471740723e-01,1.666666716337203979e-01
4.065000000000000037e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.075000000000000580e-03,4.150943458080291748e-01,6.666666865348815918e-01,3.013698756694793701e-01
2.461599999999999899e-01,4.175882041454315186e-01,6.007575988769531250e-01,3.200161457061767578e-01
1.863499999999999879e-02,2.843602001667022705e-01,7.317073345184326172e-01,1.764705926179885864e-01
2.282500000000000084e-01,7.155879735946655273e-01,7.681017518043518066e-01,6.697952151298522949e-01
4.449999999999999746e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.199999999999999544e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999894e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.064500000000000252e-02,3.633879423141479492e-01,6.244131326675415039e-01,2.562620341777801514e-01
7.560000000000000053e-02,4.320431947708129883e-01,7.339449524879455566e-01,3.061224520206451416e-01
2.445000000000000125e-03,7.368421554565429688e-01,9.333333373069763184e-01,6.086956262588500977e-01
6.899999999999999883e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000105e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.091000000000000192e-02,3.085299730300903320e-01,6.640625000000000000e-01,2.009456306695938110e-01
3.543999999999999928e-02,4.436741769313812256e-01,6.336633563041687012e-01,3.413333296775817871e-01
1.759499999999999953e-02,3.485477268695831299e-01,5.454545617103576660e-01,2.560975551605224609e-01
1.784999999999999911e-03,1.176470592617988586e-01,1.000000000000000000e+00,6.250000000000000000e-02
1.477499999999999994e-02,6.250000596046447754e-01,7.692307829856872559e-01,5.263158082962036133e-01
5.952999999999999958e-02,2.060439586639404297e-01,5.813953280448913574e-01,1.252086758613586426e-01
5.575000000000000094e-03,5.970149487257003784e-02,2.500000000000000000e-01,3.389830514788627625e-02
5.650000000000000161e-02,6.006256937980651855e-01,7.619047760963439941e-01,4.956970810890197754e-01
1.845000000000000069e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.074999999999999629e-03,8.333333581686019897e-02,1.666666716337203979e-01,5.555555596947669983e-02
2.639999999999999986e-02,6.016949415206909180e-01,7.759562730789184570e-01,4.913494884967803955e-01
1.207550000000000012e-01,2.337821424007415771e-01,5.093333125114440918e-01,1.517077088356018066e-01
3.124000000000000041e-02,6.210525631904602051e-01,7.137096524238586426e-01,5.496894121170043945e-01
3.899999999999999929e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999789e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.231999999999999956e-02,6.699751615524291992e-01,7.584269642829895020e-01,6.000000238418579102e-01
2.700000000000000035e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.240000000000000000e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.624999999999999771e-03,4.657534360885620117e-01,6.071428656578063965e-01,3.777777850627899170e-01
