f1,precision,recall
7.197289913892745972e-02,4.166666567325592041e-01,3.938832134008407593e-02
1.812907904386520386e-01,3.101736903190612793e-01,1.280737668275833130e-01
3.529412150382995605e-01,6.923077106475830078e-01,2.368421107530593872e-01
7.462686859071254730e-03,6.666666865348815918e-01,3.752345219254493713e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.695652708411216736e-03,1.000000000000000000e+00,4.366812296211719513e-03
3.204134404659271240e-01,8.857142925262451172e-01,1.955835968255996704e-01
8.148147463798522949e-01,8.118081092834472656e-01,8.178438544273376465e-01
6.580086350440979004e-01,5.507246255874633789e-01,8.172042965888977051e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.081081107258796692e-02,2.222222238779067993e-01,5.540166050195693970e-03
3.195105195045471191e-01,7.413249015808105469e-01,2.036395072937011719e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.929577112197875977e-01,6.603773832321166992e-01,3.932584226131439209e-01
3.999999910593032837e-02,7.500000000000000000e-01,2.054794505238533020e-02
4.248366057872772217e-01,4.961832165718078613e-01,3.714285790920257568e-01
5.783132910728454590e-01,6.666666865348815918e-01,5.106382966041564941e-01
6.859744191169738770e-01,8.009662032127380371e-01,5.998553037643432617e-01
2.311557680368423462e-01,6.666666865348815918e-01,1.398176252841949463e-01
1.212121173739433289e-01,8.421052694320678711e-01,6.530611962080001831e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.004184111952781677e-01,6.000000238418579102e-01,5.479452013969421387e-02
2.467532455921173096e-01,7.916666865348815918e-01,1.461538523435592651e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.307166814804077148e-01,9.819341301918029785e-01,4.645550549030303955e-01
4.494381844997406006e-01,4.347825944423675537e-01,4.651162922382354736e-01
1.388888992369174957e-02,1.666666716337203979e-01,7.246376946568489075e-03
2.077922075986862183e-01,5.517241358757019043e-01,1.280000060796737671e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.848484694957733154e-01,7.111111283302307129e-01,3.678160905838012695e-01
4.420565664768218994e-01,9.536376595497131348e-01,2.877125144004821777e-01
4.931506812572479248e-01,7.105262875556945801e-01,3.776223659515380859e-01
7.946785092353820801e-01,8.888888955116271973e-01,7.185244560241699219e-01
1.999999880790710449e-01,1.000000000000000000e+00,1.111111119389533997e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.286713361740112305e-01,7.899159789085388184e-01,2.075055241584777832e-01
3.797881007194519043e-01,7.373417615890502930e-01,2.557629048824310303e-01
3.750000000000000000e-01,8.571428656578063965e-01,2.399999946355819702e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.605149984359741211e-01,7.241379022598266602e-01,2.399999946355819702e-01
6.431999802589416504e-01,8.204081654548645020e-01,5.289473533630371094e-01
2.395209372043609619e-01,9.523809552192687988e-01,1.369863003492355347e-01
1.875000000000000000e-01,1.000000000000000000e+00,1.034482792019844055e-01
7.711864113807678223e-01,8.504672646522521973e-01,7.054263353347778320e-01
9.420035779476165771e-02,8.023952245712280273e-01,5.003734305500984192e-02
2.461538612842559814e-01,6.153846383094787598e-01,1.538461595773696899e-01
5.048076510429382324e-01,4.772727191448211670e-01,5.357142686843872070e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000059604644775e-01,6.666666865348815918e-01,2.857142984867095947e-01
5.890411138534545898e-01,5.758928656578063965e-01,6.028037667274475098e-01
2.449186891317367554e-01,6.945244669914245605e-01,1.486736536026000977e-01
6.580882072448730469e-01,9.808219075202941895e-01,4.951590597629547119e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.812807679176330566e-01,6.941176652908325195e-01,5.000000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.075949668884277344e-01,7.272727489471435547e-01,5.217391252517700195e-01
4.761904776096343994e-01,1.000000000000000000e+00,3.125000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.344481810927391052e-02,2.941176593303680420e-01,1.773049682378768921e-02
4.721505045890808105e-01,8.815426826477050781e-01,3.224181234836578369e-01
1.269841343164443970e-01,2.666666805744171143e-01,8.333333581686019897e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.666666716337203979e-01,1.000000000000000000e+00,9.090909361839294434e-02
3.175675570964813232e-01,8.545454740524291992e-01,1.950207501649856567e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.167958885431289673e-02,9.090909361839294434e-01,2.659574523568153381e-02
2.857142686843872070e-01,3.333333432674407959e-01,2.500000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.855670064687728882e-01,6.000000238418579102e-01,1.097560971975326538e-01
1.459854096174240112e-02,1.190476194024085999e-01,7.776049897074699402e-03
1.538461595773696899e-01,2.000000029802322388e-01,1.250000000000000000e-01
6.710526347160339355e-01,7.611940503120422363e-01,6.000000238418579102e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.233933329582214355e-01,7.654135227203369141e-01,3.976562619209289551e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.874999850988388062e-01,8.571428656578063965e-01,1.052631586790084839e-01
2.075471729040145874e-01,1.000000000000000000e+00,1.157894730567932129e-01
2.758620679378509521e-01,4.878048896789550781e-01,1.923076957464218140e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,5.000000000000000000e-01,1.666666716337203979e-01
7.448275089263916016e-01,7.397260069847106934e-01,7.500000000000000000e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.773427665233612061e-01,9.597902297973632812e-01,1.620903462171554565e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.661596834659576416e-01,6.603773832321166992e-01,1.666666716337203979e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.244897931814193726e-01,9.482758641242980957e-01,1.273148208856582642e-01
4.705882072448730469e-01,5.106382966041564941e-01,4.363636374473571777e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.389830514788627625e-02,1.000000000000000000e+00,1.724137924611568451e-02
5.511363148689270020e-01,7.637795209884643555e-01,4.311110973358154297e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.176470518112182617e-01,6.116504669189453125e-01,6.237623691558837891e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.636364042758941650e-01,7.200000286102294922e-01,2.432432472705841064e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.874999880790710449e-01,6.458333134651184082e-01,2.767857015132904053e-01
8.282828927040100098e-01,8.541666865348815918e-01,8.039215803146362305e-01
8.285714387893676758e-01,8.529411554336547852e-01,8.055555820465087891e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.847690492868423462e-01,5.000000000000000000e-01,1.133231222629547119e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000029802322388e-01,2.500000000000000000e-01,1.666666716337203979e-01
1.875000000000000000e-01,6.000000238418579102e-01,1.111111119389533997e-01
7.339449971914291382e-02,6.666666865348815918e-01,3.883495181798934937e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.539682388305664062e-01,8.888888955116271973e-01,1.481481492519378662e-01
4.361628293991088867e-01,8.061224222183227539e-01,2.989593148231506348e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.330446422100067139e-01,8.831521868705749512e-01,2.868490815162658691e-01
1.785714328289031982e-01,6.896551847457885742e-01,1.025641039013862610e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.851351141929626465e-01,8.618420958518981934e-01,9.097222089767456055e-01
4.954128563404083252e-01,6.923077106475830078e-01,3.857142925262451172e-01
3.464174568653106689e-01,8.728414177894592285e-01,2.160901725292205811e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.047244161367416382e-01,6.842105388641357422e-01,1.203703731298446655e-01
1.855670064687728882e-01,8.181818127632141113e-01,1.046511605381965637e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.365853905677795410e-01,9.166666865348815918e-01,3.793103396892547607e-01
6.269841790199279785e-01,9.106628298759460449e-01,4.780635535717010498e-01
3.076922893524169922e-01,1.000000000000000000e+00,1.818181872367858887e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.551020503044128418e-01,4.197530746459960938e-01,8.192771077156066895e-01
3.717377781867980957e-01,6.108786463737487793e-01,2.671546339988708496e-01
2.857142873108386993e-02,1.000000000000000000e+00,1.449275389313697815e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.323024034500122070e-01,6.092715263366699219e-01,6.571428775787353516e-01
9.725607633590698242e-01,9.638289809226989746e-01,9.814522266387939453e-01
2.564102411270141602e-01,6.250000000000000000e-01,1.612903177738189697e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.751055270433425903e-02,6.153846383094787598e-01,3.571428731083869934e-02
3.190546333789825439e-01,8.307692408561706543e-01,1.974405795335769653e-01
7.272727787494659424e-02,8.000000119209289551e-01,3.809523954987525940e-02
4.774193763732910156e-01,8.409090638160705566e-01,3.333333432674407959e-01
6.642201542854309082e-01,6.198630332946777344e-01,7.154150009155273438e-01
3.832335472106933594e-01,3.368421196937561035e-01,4.444444477558135986e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.325581386685371399e-02,5.000000000000000000e-01,1.190476212650537491e-02
3.722262009978294373e-02,9.285714030265808105e-01,1.899196580052375793e-02
3.034134209156036377e-01,8.888888955116271973e-01,1.829268336296081543e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.545454680919647217e-01,7.142857313156127930e-01,3.333333432674407959e-01
7.692307978868484497e-02,1.000000000000000000e+00,3.999999910593032837e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.718498885631561279e-01,5.500000119209289551e-01,4.131455421447753906e-01
3.859649300575256348e-01,6.111111044883728027e-01,2.820512950420379639e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.820894837379455566e-01,6.367346644401550293e-01,5.360824465751647949e-01
1.651376187801361084e-01,8.181818127632141113e-01,9.183673560619354248e-02
5.517241358757019043e-01,7.619047760963439941e-01,4.324324429035186768e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.405405163764953613e-01,7.865168452262878418e-01,4.117647111415863037e-01
5.000000000000000000e-01,4.347825944423675537e-01,5.882353186607360840e-01
4.718615114688873291e-01,7.124183177947998047e-01,3.527508080005645752e-01
6.630629897117614746e-01,8.313252925872802734e-01,5.514485239982604980e-01
5.564738512039184570e-01,7.769230604171752930e-01,4.334763884544372559e-01
