# original_frequency, f1, precision, recall
1.425000000000000051e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360500000000000077e-02,5.919002890586853027e-01,4.871794879436492920e-01,7.539682388305664062e-01
7.844999999999999543e-03,4.000000059604644775e-01,5.000000000000000000e-01,3.333333432674407959e-01
2.720500000000000002e-02,7.375414967536926270e-01,6.706948876380920410e-01,8.191881775856018066e-01
5.479999999999999628e-03,4.962406158447265625e-01,4.782608747482299805e-01,5.156250000000000000e-01
2.615750000000000020e-01,6.305584907531738281e-01,5.179474353790283203e-01,8.057412505149841309e-01
2.848499999999999990e-02,3.839122354984283447e-01,4.085603058338165283e-01,3.620689511299133301e-01
1.608000000000000054e-02,2.017543762922286987e-01,3.833333253860473633e-01,1.369047611951828003e-01
5.500000000000000196e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.849999999999999973e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.353999999999999995e-02,4.326241314411163330e-01,4.357142746448516846e-01,4.295774698257446289e-01
1.376999999999999925e-02,4.676259160041809082e-01,4.744525551795959473e-01,4.609929025173187256e-01
3.499999999999999693e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.740000000000000010e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.299999999999999886e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.499999999999999431e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000409e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.063400000000000040e-01,6.424604654312133789e-01,5.793528556823730469e-01,7.209970951080322266e-01
1.203000000000000076e-02,5.393258333206176758e-01,5.333333611488342285e-01,5.454545617103576660e-01
2.174500000000000044e-02,1.696113198995590210e-01,3.199999928474426270e-01,1.153846159577369690e-01
1.485999999999999995e-02,4.000000059604644775e-01,4.905660450458526611e-01,3.376623392105102539e-01
4.065000000000000037e-03,7.843137532472610474e-02,1.333333402872085571e-01,5.555555596947669983e-02
8.075000000000000580e-03,6.108373999595642090e-01,5.438596606254577637e-01,6.966292262077331543e-01
2.461599999999999899e-01,5.559610724449157715e-01,4.476003944873809814e-01,7.335473299026489258e-01
1.863499999999999879e-02,4.694534242153167725e-01,5.839999914169311523e-01,3.924731314182281494e-01
2.282500000000000084e-01,7.178524732589721680e-01,6.341625452041625977e-01,8.269895911216735840e-01
4.449999999999999746e-04,2.500000000000000000e-01,5.000000000000000000e-01,1.666666716337203979e-01
5.199999999999999544e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.299999999999999894e-04,4.000000059604644775e-01,5.000000000000000000e-01,3.333333432674407959e-01
5.064500000000000252e-02,4.621071815490722656e-01,4.578754603862762451e-01,4.664179086685180664e-01
7.560000000000000053e-02,5.505050420761108398e-01,5.470514297485351562e-01,5.540025234222412109e-01
2.445000000000000125e-03,6.190476417541503906e-01,6.190476417541503906e-01,6.190476417541503906e-01
6.899999999999999883e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000105e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.091000000000000192e-02,4.899193644523620605e-01,4.278168976306915283e-01,5.731132030487060547e-01
3.543999999999999928e-02,5.208053588867187500e-01,5.091863274574279785e-01,5.329670310020446777e-01
1.759499999999999953e-02,4.634760618209838867e-01,4.623115658760070801e-01,4.646464586257934570e-01
1.784999999999999911e-03,1.538461595773696899e-01,1.000000000000000000e+00,8.333333581686019897e-02
1.477499999999999994e-02,6.482758522033691406e-01,6.666666865348815918e-01,6.308724880218505859e-01
5.952999999999999958e-02,4.644478261470794678e-01,4.148648679256439209e-01,5.274913907051086426e-01
5.575000000000000094e-03,4.000000059604644775e-01,3.222222328186035156e-01,5.272727012634277344e-01
5.650000000000000161e-02,6.118479967117309570e-01,5.844594836235046387e-01,6.419295072555541992e-01
1.845000000000000069e-03,4.545454680919647217e-01,6.250000000000000000e-01,3.571428656578063965e-01
4.074999999999999629e-03,3.703703582286834717e-01,4.545454680919647217e-01,3.125000000000000000e-01
2.639999999999999986e-02,6.944858431816101074e-01,6.526610851287841797e-01,7.420381903648376465e-01
1.207550000000000012e-01,4.156798720359802246e-01,4.210090935230255127e-01,4.104838669300079346e-01
3.124000000000000041e-02,6.445497870445251465e-01,6.126126050949096680e-01,6.800000071525573730e-01
3.899999999999999929e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999789e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.231999999999999956e-02,6.118721365928649902e-01,5.800865888595581055e-01,6.473429799079895020e-01
2.700000000000000035e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.240000000000000000e-03,2.000000029802322388e-01,6.666666865348815918e-01,1.176470592617988586e-01
4.624999999999999771e-03,6.428571343421936035e-01,5.454545617103576660e-01,7.826086878776550293e-01
2.129999999999999949e-03,3.846153914928436279e-01,4.545454680919647217e-01,3.333333432674407959e-01
6.849999999999999535e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.304999999999999953e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.114999999999999866e-02,1.845018416643142700e-01,3.472222089767456055e-01,1.256281435489654541e-01
1.029199999999999976e-01,5.901089906692504883e-01,5.241995453834533691e-01,6.749760508537292480e-01
5.865000000000000421e-03,4.285714328289031982e-01,3.947368562221527100e-01,4.687500000000000000e-01
4.725000000000000033e-03,4.166666790843009949e-02,1.666666716337203979e-01,2.380952425301074982e-02
1.325000000000000006e-03,1.904762089252471924e-01,4.000000059604644775e-01,1.250000000000000000e-01
8.914999999999999314e-03,4.242424368858337402e-01,4.268292784690856934e-01,4.216867387294769287e-01
2.769999999999999893e-02,1.388012617826461792e-01,3.188405930995941162e-01,8.870967477560043335e-02
3.437500000000000278e-02,3.123287856578826904e-01,3.048128485679626465e-01,3.202247321605682373e-01
1.430000000000000064e-03,2.608695924282073975e-01,3.333333432674407959e-01,2.142857164144515991e-01
1.649999999999999991e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000182e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.180000000000000080e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.899999999999999842e-03,3.414634168148040771e-01,5.185185074806213379e-01,2.545454502105712891e-01
1.271000000000000081e-02,5.247524976730346680e-01,7.681159377098083496e-01,3.984962403774261475e-01
1.430000000000000064e-03,2.962963283061981201e-01,3.076923191547393799e-01,2.857142984867095947e-01
1.089500000000000017e-02,6.239315867424011230e-01,6.134454011917114258e-01,6.347826123237609863e-01
1.864999999999999904e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.611750000000000127e-01,5.139211416244506836e-01,4.911308288574218750e-01,5.389294624328613281e-01
1.250000000000000026e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.219999999999999855e-03,2.022471874952316284e-01,4.285714328289031982e-01,1.323529481887817383e-01
1.006499999999999929e-02,3.850931823253631592e-01,5.166666507720947266e-01,3.069306910037994385e-01
3.380999999999999978e-02,2.929061949253082275e-01,5.289255976676940918e-01,2.025316506624221802e-01
4.150000000000000043e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.544999999999999932e-03,2.222222238779067993e-01,2.857142984867095947e-01,1.818181872367858887e-01
8.789999999999999203e-03,5.764705538749694824e-01,5.697674155235290527e-01,5.833333134651184082e-01
1.900000000000000105e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.448750000000000038e-01,4.814930260181427002e-01,4.402730464935302734e-01,5.312285423278808594e-01
2.400000000000000061e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.629999999999999852e-02,4.594594538211822510e-01,4.755244851112365723e-01,4.444444477558135986e-01
9.700000000000000289e-03,1.228070110082626343e-01,3.684210479259490967e-01,7.368420809507369995e-02
2.702999999999999847e-02,3.484848439693450928e-01,4.859154820442199707e-01,2.716535329818725586e-01
7.485000000000000334e-03,4.654088318347930908e-01,4.252873659133911133e-01,5.138888955116271973e-01
2.085000000000000048e-03,7.407406717538833618e-02,5.000000000000000000e-01,3.999999910593032837e-02
4.749999999999999990e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000035e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.470000000000000098e-03,1.012658253312110901e-01,2.857142984867095947e-01,6.153846159577369690e-02
1.383999999999999987e-02,6.807511448860168457e-01,5.451127886772155762e-01,9.062500000000000000e-01
1.275000000000000092e-03,2.307692319154739380e-01,1.875000000000000000e-01,3.000000119209289551e-01
1.457999999999999921e-02,6.645367145538330078e-01,7.428571581840515137e-01,6.011560559272766113e-01
7.950000000000000252e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.940000000000000101e-03,1.111111044883728027e-01,1.000000000000000000e+00,5.882352963089942932e-02
6.760000000000000384e-03,3.888888955116271973e-01,4.666666686534881592e-01,3.333333432674407959e-01
3.119999999999999944e-03,1.999999880790710449e-01,6.250000000000000000e-01,1.190476194024085999e-01
1.123000000000000040e-02,3.880597054958343506e-01,4.588235318660736084e-01,3.362068831920623779e-01
3.969999999999999571e-03,7.070707082748413086e-01,6.481481194496154785e-01,7.777777910232543945e-01
3.540000000000000178e-03,8.045977354049682617e-01,7.291666865348815918e-01,8.974359035491943359e-01
4.214999999999999997e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.947000000000000203e-02,4.283513128757476807e-01,3.866481184959411621e-01,4.801381826400756836e-01
7.839999999999999747e-03,2.748091518878936768e-01,3.333333432674407959e-01,2.337662279605865479e-01
9.315000000000000363e-03,2.061855792999267578e-02,1.000000000000000000e+00,1.041666697710752487e-02
5.490000000000000088e-03,1.643835604190826416e-01,5.000000000000000000e-01,9.836065769195556641e-02
5.024999999999999953e-03,4.554455578327178955e-01,4.259259402751922607e-01,4.893617033958435059e-01
